Datetime,Open,High,Low,Close,Volume,EMA9,EMA20,EMA50,RSI,VWAP
2025-07-31 10:00:00+05:30,55709.3,55712.95,55561.65,55607.2,0,,,,,
2025-07-31 10:15:00+05:30,55606.75,55648.35,55547.35,55628.65,0,,,,,
2025-07-31 10:30:00+05:30,55625.35,55653.55,55582.1,55636.65,0,,,,,
2025-07-31 10:45:00+05:30,55635.75,55720.3,55617.65,55708.8,0,,,,,
2025-07-31 11:00:00+05:30,55711.65,55877.55,55710.05,55809.35,0,,,,,
2025-07-31 11:15:00+05:30,55808.85,55956.25,55789.55,55922.35,0,,,,,
2025-07-31 11:30:00+05:30,55922.15,56056.3,55918.05,56035.5,0,,,,,
2025-07-31 11:45:00+05:30,56039.3,56121.75,56007.05,56015.85,0,,,,,
2025-07-31 12:00:00+05:30,56016.0,56095.7,55905.5,56091.55,0,,,,,
2025-07-31 12:15:00+05:30,56089.95,56169.3,56087.35,56091.9,0,,,,,
2025-07-31 12:30:00+05:30,56092.0,56273.45,56076.6,56216.4,0,,,,,
2025-07-31 12:45:00+05:30,56217.15,56299.5,56192.65,56284.45,0,,,,,
